Id,R,Nome,Squadra,Qt.A
5513,D,Dumfries,Inter,20
254,D,Dimarco,Inter,19
2160,D,Gosens,Fiorentina,18
2120,D,Bastoni,Inter,17
4433,D,Zortea,Bologna,16
4772,D,Angelino,Roma,15
7181,D,Wesley,Roma,15
5520,D,Cambiaso,Juventus,14
2816,D,Di Lorenzo,Napoli,14
4887,D,Bellanova,Atalanta,13
554,D,Zappacosta,Atalanta,13
2788,D,Bremer,Juventus,13
2724,D,Buongiorno,Napoli,13
5273,D,Estupinan,Milan,12
5885,D,Dodò,Fiorentina,11
5620,D,Tavares N.,Lazio,11
4409,D,Rrahmani,Napoli,11
2296,D,Mancini,Roma,11
6956,D,Solet,Udinese,11
6046,D,Hien,Atalanta,10
2593,D,Martin,Genoa,10
5877,D,Carlos Augusto,Inter,10
5835,D,Baschirotto,Cremonese,10
6202,D,Beukema,Napoli,10
5840,D,Olivera,Napoli,10
5862,D,Valeri,Parma,10
4317,D,N'Dicka,Roma,10
5578,D,Kossounou,Atalanta,9
4734,D,Miranda J.,Bologna,9
393,D,Luperto,Cagliari,9
5514,D,Vasquez,Genoa,9
513,D,Acerbi,Inter,9
6217,D,Bisseck,Inter,9
322,D,De Vrij,Inter,9
4976,D,Kalulu,Juventus,9
5833,D,Gila,Lazio,9
787,D,Djimsiti,Atalanta,8
5526,D,Scalvini,Atalanta,8
6042,D,Lucumì,Bologna,8
7068,D,Vitik,Bologna,8
5678,D,Holm,Bologna,8
5739,D,De Winter,Milan,8
4177,D,Pavard,Inter,8
5831,D,Gatti,Juventus,8
7175,D,Joao Mario,Juventus,8
460,D,Romagnoli,Lazio,8
2188,D,Marusic,Lazio,8
6632,D,Gaspar K.,Lecce,8
5022,D,Pavlovic,Milan,8
4751,D,Tomori,Milan,8
6664,D,Delprato,Parma,8
6642,D,Coco,Torino,8
5010,D,Ismajli,Torino,8
252,D,Biraghi,Torino,8
5427,D,Gutierrez,Napoli,8
2640,D,Kolasinac,Atalanta,7
4210,D,Mina,Cagliari,7
4994,D,Vojvoda,Como,7
6867,D,Valle,Como,7
6495,D,Comuzzo,Fiorentina,7
4904,D,Marì,Fiorentina,7
4378,D,Ranieri L.,Fiorentina,7
6766,D,Kelly L.,Juventus,7
1852,D,Spinazzola,Napoli,7
4657,D,Celik,Roma,7
4665,D,Maripan,Torino,7
4385,D,Lazaro,Torino,7
6485,D,Kristensen T.,Udinese,7
5555,D,Kamara H.,Udinese,7
697,D,Cuadrado,Pisa,7
6672,D,Idzes,Sassuolo,7
6916,D,Ahanor,Atalanta,6
4461,D,Zappa,Cagliari,6
770,D,Pezzella Giu.,Cremonese,6
4502,D,Gallo,Lecce,6
4401,D,Gabbia,Milan,6
7143,D,Angori,Pisa,6
5851,D,Doig,Sassuolo,6
5820,D,Bertola,Udinese,6
6985,D,Candè,Sassuolo,6
7211,D,Athekame,Milan,6
7235,D,Troilo,Parma,6
7253,D,Bella-Kotchap,Verona,6
6066,D,Posch,Bologna,5
2653,D,Lykogiannis,Bologna,5
6893,D,Kempf,Como,5
7131,D,Floriani Mussolini,Cremonese,5
5603,D,Pongracic,Fiorentina,5
5449,D,Parisi,Fiorentina,5
791,D,Sabelli,Genoa,5
6039,D,Cabal,Juventus,5
6531,D,Jimenez A.,Milan,5
6663,D,Circati,Parma,5
2273,D,Caracciolo A.,Pisa,5
6986,D,Rensch,Roma,5
7155,D,Muharemovic,Sassuolo,5
4374,D,Walukiewicz,Sassuolo,5
6047,D,Ehizibue,Udinese,5
6894,D,Unai Nunez,Verona,5
5750,D,Ostigard,Genoa,5
6869,D,Ramon,Como,5
7018,D,Nelsson,Verona,5
7240,D,Siebert,Lecce,5
5498,D,Casale,Bologna,4
487,D,De Silvestri,Bologna,4
5701,D,Obert,Cagliari,4
7125,D,Idrissi R.,Cagliari,4
6230,D,Dossena,Como,4
418,D,Goldaniga,Como,4
6896,D,Van Der Brempt,Como,4
612,D,Bianchetti,Cremonese,4
7130,D,Folino,Cremonese,4
1891,D,Ceccherini,Cremonese,4
5718,D,Viti,Fiorentina,4
6660,D,Marcandalli,Genoa,4
2525,D,Darmian,Inter,4
5899,D,Gigot,Lazio,4
327,D,Patric,Lazio,4
2263,D,Lazzari,Lazio,4
7136,D,Kouassi,Lecce,4
256,D,Juan Jesus,Napoli,4
5307,D,Valenti,Parma,4
7139,D,Canestrelli,Pisa,4
6411,D,Mateus Lusuardi,Pisa,4
2745,D,Calabresi,Pisa,4
4807,D,Hermoso,Roma,4
7020,D,Salah-Eddine,Roma,4
2279,D,Romagna,Sassuolo,4
6426,D,Pedersen,Torino,4
6631,D,Ghilardi,Roma,4
6957,D,Valentini N.,Verona,4
5994,D,Ebosse,Verona,4
5532,D,Bradaric,Verona,4
7202,D,Ndiaye,Parma,4
6537,D,Goglichidze,Udinese,4
7212,D,Heggem,Bologna,4
7220,D,Belghali,Verona,4
6832,D,Palestra,Cagliari,3
7014,D,Smolcic I.,Como,3
5435,D,Moreno Alb.,Como,3
6013,D,Barbieri,Cremonese,3
7069,D,Fortini,Fiorentina,3
6245,D,Vogliacco,Genoa,3
6814,D,Norton-Cuffy,Genoa,3
294,D,Rugani,Juventus,3
6802,D,Savona,Juventus,3
7012,D,Provstgaard,Lazio,3
2728,D,Pellegrini Lu.,Lazio,3
140,D,Hysaj,Lazio,3
6883,D,Jean,Lecce,3
6496,D,Bartesaghi,Milan,3
5812,D,Terracciano F.,Cremonese,3
6809,D,Marianucci,Napoli,3
5527,D,Zanoli,Napoli,3
5481,D,Mazzocchi,Napoli,3
5353,D,Balogh,Parma,3
6965,D,Lovik,Parma,3
7154,D,Odenthal,Sassuolo,3
6041,D,Schuurs,Torino,3
49,D,Masina,Torino,3
4263,D,Kabasele,Udinese,3
6211,D,Zemura,Udinese,3
6900,D,Rui Modesto,Udinese,3
6639,D,Frese,Verona,3
7260,D,Ziolkowski,Roma,3
6444,D,Bonfanti,Atalanta,2
5406,D,Di Pardo,Cagliari,2
6944,D,Jack,Como,2
6977,D,Otoa,Genoa,2
6989,D,Tiago Gabriel,Lecce,2
6990,D,Veiga D.,Lecce,2
7141,D,Rus,Pisa,2
7156,D,Pieragnolo,Sassuolo,2
7011,D,Slotsager,Verona,2
6992,D,Oyegoke,Verona,2
7196,D,Denoon,Pisa,2
6551,D,Ilic M.,Bologna,1
2847,D,Sernicola,Cremonese,1
6803,D,Rouhi,Juventus,1
7164,D,Perez M.,Lecce,1
7182,D,Ndaba,Lecce,1
7140,D,Coppola F.,Pisa,1
7170,D,Mbambi,Pisa,1
7142,D,Esteves T.,Pisa,1
6431,D,Paz Y.,Sassuolo,1
6826,D,Dembelè A.,Torino,1
6925,D,Palma,Udinese,1
7222,D,Cham,Verona,1
7255,D,Britschgi,Parma,1
