Id,R,Nome,Squadra,Qt.A
2167,C,Orsolini,Bologna,30
2423,C,Pulisic,Milan,28
4777,C,McTominay,Napoli,27
632,C,Zaccagni,Lazio,25
5800,C,Gudmundsson A.,Fiorentina,24
2517,C,De Bruyne,Napoli,24
2194,C,Calhanoglu,Inter,22
6875,C,Paz N.,Como,21
6884,C,Conceicao,Juventus,18
5562,C,Thuram K.,Juventus,16
536,C,Politano,Napoli,16
2670,C,Bailey,Roma,16
5792,C,Ederson D.S.,Atalanta,15
2765,C,Odgaard,Bologna,15
1933,C,Mandragora,Fiorentina,15
4220,C,Zambo Anguissa,Napoli,15
5687,C,Vlasic,Torino,15
1870,C,Barella,Inter,14
2848,C,Frattesi,Inter,14
5685,C,Koopmeiners,Juventus,14
6398,C,Isaksen,Lazio,14
5589,C,Konè M.,Roma,14
6844,C,Rowe,Bologna,14
6831,C,Neres,Napoli,13
6984,C,Ondrejka,Parma,13
7203,C,Jashari,Milan,13
22,C,De Roon,Atalanta,12
5119,C,Samardzic,Atalanta,12
5036,C,Caqueret,Como,12
5559,C,Da Cunha,Como,12
7133,C,Vandeputte,Cremonese,12
6722,C,Gronbaek,Genoa,12
827,C,Locatelli,Juventus,12
4892,C,Saelemaekers,Milan,12
2606,C,Modric,Milan,12
5319,C,Sohm,Fiorentina,12
5318,C,Tramoni M.,Pisa,12
5888,C,Casadei,Torino,12
6218,C,Oristanio,Parma,12
788,C,Freuler,Bologna,11
5858,C,Ferguson,Bologna,11
6010,C,Fazzini,Fiorentina,11
6106,C,Carboni V.,Genoa,11
4186,C,Guendouzi,Lazio,11
6629,C,Dele-Bashiru,Lazio,11
4686,C,Fofana Y.,Milan,11
6666,C,Bernabè,Parma,11
530,C,Pellegrini Lo.,Roma,11
2839,C,Sottil,Lecce,11
5561,C,Stengs,Pisa,11
2077,C,Pasalic,Atalanta,10
6206,C,Fabbian,Bologna,10
449,C,Vazquez,Cremonese,10
7070,C,Sucic P.,Inter,10
4973,C,McKennie,Juventus,10
6549,C,Pierotti,Lecce,10
5453,C,Ricci S.,Milan,10
6889,C,Anjorin,Torino,10
5850,C,Lovric,Udinese,10
6684,C,Ekkelenkamp,Udinese,10
4896,C,Maldini,Atalanta,9
184,C,Bernardeschi,Bologna,9
6252,C,Folorunsho,Cagliari,9
4364,C,Gaetano,Cagliari,9
7126,C,Baturina,Como,9
5791,C,Frendrup,Genoa,9
2529,C,Mkhitaryan,Inter,9
6634,C,Tete Morente,Lecce,9
4287,C,Lobotka,Napoli,9
779,C,Cristante,Roma,9
6271,C,El Aynaoui,Roma,9
6486,C,Suslov,Verona,9
4947,C,Brescianini,Atalanta,8
5298,C,Pobega,Bologna,8
6151,C,Perrone,Como,8
7132,C,Collocolo,Cremonese,8
4465,C,Fagioli,Fiorentina,8
4970,C,Messias,Genoa,8
4427,C,Malinovskyi,Genoa,8
7135,C,Stanciu,Genoa,8
4459,C,Rovella,Lazio,8
5504,C,Coulibaly L.,Lecce,8
5872,C,Helgason,Lecce,8
4199,C,Loftus-Cheek,Milan,8
795,C,El Shaarawy,Roma,8
5823,C,Baldanzi,Roma,8
5844,C,Thorstvedt,Sassuolo,8
2274,C,Valoti,Cremonese,7
5301,C,Luis Henrique,Inter,7
5422,C,Zalewski,Atalanta,7
5131,C,Gilmour,Napoli,7
4423,C,Hernani,Parma,7
7146,C,Tourè I.,Pisa,7
6190,C,Pisilli,Roma,7
5007,C,Ilic,Torino,7
6908,C,Atta,Udinese,7
6458,C,Serdar,Verona,7
5688,C,Harroui,Verona,7
6274,C,Diouf,Inter,7
6640,C,Felici,Cagliari,6
181,C,Vecino,Lazio,6
5457,C,Maleh,Lecce,6
6633,C,Pierret,Lecce,6
6394,C,Ramadani,Lecce,6
5295,C,Musah,Milan,6
6898,C,Keita M.,Parma,6
7145,C,Piccinini G.,Pisa,6
7149,C,Marin M.,Pisa,6
6219,C,Boloca,Sassuolo,6
6815,C,Fadera,Sassuolo,6
6680,C,Karlstrom,Udinese,6
7198,C,Piotrowski,Udinese,6
7209,C,Sorensen O.,Parma,6
4870,C,Adopo,Cagliari,5
1871,C,Deiola,Cagliari,5
6917,C,Masini,Genoa,5
6020,C,Ellertsson,Genoa,5
4404,C,Thorsby,Genoa,5
5813,C,Miretti,Juventus,5
333,C,Cataldi,Lazio,5
7138,C,Ordonez C.,Parma,5
6717,C,Konè I.,Sassuolo,5
5735,C,Volpato,Sassuolo,5
4890,C,Tameze,Torino,5
1976,C,Mazzitelli,Cagliari,5
6024,C,Sulemana I.,Atalanta,4
5784,C,Aebischer,Pisa,4
6424,C,Prati,Cagliari,4
4284,C,Sergi Roberto,Como,4
27,C,Grassi,Cremonese,4
6804,C,Richardson,Fiorentina,4
5719,C,Asllani,Torino,4
152,C,Zielinski,Inter,4
4711,C,Kostic,Juventus,4
6191,C,Belahyane,Lazio,4
4856,C,Chukwueze,Milan,4
5998,C,Zerbin,Cremonese,4
6593,C,Akinsanmiro,Pisa,4
4930,C,Ghion,Sassuolo,4
6246,C,Lipani,Sassuolo,4
6170,C,Gineitis,Torino,4
6481,C,Payero,Cremonese,4
7028,C,Bernede,Verona,4
2117,C,Kastanos,Verona,4
5610,C,Vranckx,Sassuolo,4
2528,C,Matic,Sassuolo,4
7010,C,Al-Musrati,Verona,4
6054,C,Moro N.,Bologna,3
6980,C,Venturino,Genoa,3
6015,C,Berisha M.,Lecce,3
6222,C,Rafia,Lecce,3
5992,C,Bondo,Cremonese,3
7150,C,Vural,Pisa,3
6212,C,Zarraga,Udinese,3
5540,C,Niasse,Verona,3
7208,C,Miller L.,Udinese,3
7246,C,Sala A.,Lecce,3
6676,C,Engelhardt,Como,2
6294,C,Ndour,Fiorentina,2
5788,C,Sabiri,Fiorentina,2
6410,C,Kaba,Lecce,2
5290,C,Estevez,Parma,2
2334,C,Leris,Pisa,2
7177,C,Santiago,Verona,2
7165,C,Liteta,Cagliari,1
2553,C,Alli,Como,1
5516,C,Bianco,Fiorentina,1
5674,C,Basic,Lazio,1
6645,C,Marchwinski,Lecce,1
7147,C,Hojholt,Pisa,1
7151,C,Arena,Pisa,1
7157,C,Iannoni,Sassuolo,1
2076,C,Rog,Cagliari,1
6677,C,Adzic,Juventus,1
6005,C,Ilkhan,Torino,1
